time, Quad.GPS.X
0.105000,-0.372314
0.205000,0.640030
0.305000,-0.736640
0.404998,0.869285
0.504997,0.180068
0.604996,-0.945445
0.704994,0.887740
0.804993,-0.259799
0.904992,-0.450505
1.004991,-1.571693
1.104996,-0.470594
1.205000,-0.521728
1.305005,0.253537
1.405010,0.472151
1.505014,-0.728309
1.605019,-0.304267
1.705024,0.691204
1.805028,0.976995
1.905033,-0.720086
2.005037,0.026006
2.105030,-0.246244
2.205023,0.657966
2.305015,0.154268
2.405008,0.268254
2.505001,-1.340657
2.604994,-0.122110
2.704986,-0.281307
2.804979,-0.170283
2.904972,-0.306007
3.004965,0.506065
3.104957,-1.532629
3.204950,0.509950
3.304943,-0.526518
3.404936,0.040032
3.504928,0.415689
3.604921,-0.276908
3.704914,0.223350
3.804907,-0.660141
3.904899,-0.184388
4.004892,-1.156691
4.104885,1.426527
4.204878,-0.401283
4.304871,-0.634544
4.404863,-0.234929
4.504856,0.091015
4.604849,1.096287
4.704842,0.314640
4.804834,-0.530183
4.904827,0.161528
5.004820,0.271677
5.104813,-1.176639
5.204805,0.267469
5.304798,0.532981
5.404791,-0.653519
5.504784,-1.063333
5.604776,-2.137137
5.704769,0.068225
5.804762,0.178547
5.904755,0.850258
6.004747,0.550945
6.104740,1.033258
6.204733,-0.650278
6.304726,0.149044
6.404718,0.224841
6.504711,0.974621
6.604704,0.350363
6.704697,-0.937537
6.804689,0.863411
6.904682,0.311732
7.004675,-0.503531
7.104668,-0.247185
7.204660,0.239368
7.304653,1.086396
7.404646,-0.123370
7.504639,-0.330217
7.604631,1.467879
7.704624,-0.626467
7.804617,0.346290
7.904610,-0.379320
8.004604,0.786873
8.104645,0.709749
8.204685,-1.638884
8.304726,0.263949
8.404766,-0.190260
8.504807,-0.217558
8.604847,-0.484846
8.704887,-0.119211
8.804928,0.564766
8.904968,0.824000
9.005009,-0.289776
9.105049,1.140666
9.205090,1.185207
9.305130,-0.568287
9.405170,-0.266085
9.505211,-0.171742
