time, Quad.IMU.AX
0.005000,0.552094
0.010000,0.073920
0.015000,0.523427
0.020000,-0.426276
0.025000,0.916842
0.030000,-0.295547
0.035000,0.183683
0.040000,-0.568144
0.045000,0.311387
0.050000,-1.083970
0.055000,0.002757
0.060000,0.413231
0.065000,-0.796515
0.070000,0.980347
0.075000,0.606163
0.080000,0.187613
0.085000,0.509391
0.090000,0.783213
0.095000,-0.017833
0.100000,0.857157
0.105000,1.076915
0.110000,0.338511
0.115000,0.074476
0.120000,-0.126033
0.125000,-0.085284
0.130000,-0.994933
0.135000,-0.059049
0.140000,0.071340
0.145000,0.410956
0.150000,0.243100
0.155000,-0.626684
0.160000,0.418041
0.165000,-0.103519
0.170000,0.283051
0.175000,0.848030
0.180000,0.025832
0.185000,-0.684010
0.190000,-0.714178
0.195000,-0.054740
0.200000,0.666395
0.205000,-0.688651
0.210000,-0.521874
0.215000,0.135209
0.220000,-0.764128
0.225000,-0.204888
0.230000,0.061661
0.235000,-0.316830
0.240000,-0.267501
0.245000,-0.551104
0.250000,-0.094295
0.255000,-0.698340
0.260000,0.186102
0.265000,-0.273293
0.270000,-0.410736
0.275000,-0.505580
0.280000,0.092653
0.285000,0.257626
0.290000,-0.513518
0.295000,-0.276619
0.300000,-0.022813
0.305000,-0.303713
0.310000,0.608956
0.314999,-0.010992
0.319999,0.540266
0.324999,0.528834
0.329999,0.603097
0.334999,-0.103583
0.339999,-0.262462
0.344999,-0.037474
0.349999,-0.618887
0.354999,-0.200670
0.359999,0.121449
0.364999,0.494462
0.369999,1.146035
0.374999,0.244821
0.379999,-0.198488
0.384999,-0.650888
0.389999,0.262521
0.394998,0.150793
0.399998,-0.044098
0.404998,-0.849318
0.409998,0.215576
0.414998,-0.245759
0.419998,0.420011
0.424998,0.081609
0.429998,-0.558404
0.434998,-0.336461
0.439998,-0.225298
0.444998,0.045077
0.449998,-0.994497
0.454998,-1.219573
0.459998,0.036338
0.464998,0.358030
0.469997,-0.564534
0.474997,-0.506979
0.479997,0.886658
0.484997,0.191203
0.489997,-0.622093
0.494997,-0.122833
0.499997,-0.273568
0.504997,0.329269
0.509997,-0.375280
0.514997,0.240072
0.519997,-0.077220
0.524997,0.042296
0.529997,-0.600068
0.534997,0.132178
0.539997,0.426696
0.544997,0.235223
0.549996,-0.576602
0.554996,0.094152
0.559996,-0.459258
0.564996,0.420903
0.569996,-0.852488
0.574996,-0.027551
0.579996,-0.059889
