MP.7 Performance Evaluation 1

Detector | #Total Keypoints | Per Img KPs
------------ | ------------- | -------------
SHITOMASI  | 13423 | [1370, 1301, 1361, 1358, 1333, 1284, 1322, 1366, 1389, 1339]
HARRIS     |  5073 | [490, 499, 508, 509, 522, 510, 491, 511, 539, 494]
FAST       | 49204 | [5063, 4952, 4863, 4840, 4856, 4899, 4870, 4868, 4996, 4997]
BRISK      | 27116 | [2757, 2777, 2741, 2735, 2757, 2695, 2715, 2628, 2639, 2672]
ORB        |  5000 | [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]
AKAZE      | 13429 | [1351, 1327, 1311, 1351, 1360, 1347, 1363, 1331, 1357, 1331]
SIFT       | 13862 | [1438, 1371, 1380, 1335, 1305, 1370, 1396, 1382, 1463, 1422]

MP.8 Performance Evaluation 2

Det-Desc-Mat-Sel                    | #Total Matches | Per Img Matches
------------ | ------------- | -------------
SHITOMASI-BRISK-MAT_BF-SEL_KNN      |  767 | [95, 88, 80, 90, 82, 79, 85, 86, 82]
SHITOMASI-BRIEF-MAT_BF-SEL_KNN      |  944 | [115, 111, 104, 101, 102, 102, 100, 109, 100]
SHITOMASI-ORB-MAT_BF-SEL_KNN        |  908 | [106, 102, 99, 102, 103, 97, 98, 104, 97]
SHITOMASI-FREAK-MAT_BF-SEL_KNN      |  768 | [86, 90, 86, 88, 86, 80, 81, 86, 85]
SHITOMASI-SIFT-MAT_BF-SEL_KNN       |  927 | [112, 109, 104, 103, 99, 101, 96, 106, 97]
HARRIS-BRISK-MAT_BF-SEL_KNN         |  365 | [40, 36, 36, 38, 40, 48, 42, 45, 40]
HARRIS-BRIEF-MAT_BF-SEL_KNN         |  424 | [48, 46, 42, 45, 45, 54, 48, 49, 47]
HARRIS-ORB-MAT_BF-SEL_KNN           |  422 | [48, 41, 43, 46, 44, 53, 49, 52, 46]
HARRIS-FREAK-MAT_BF-SEL_KNN         |  372 | [44, 39, 37, 39, 39, 51, 37, 44, 42]
HARRIS-SIFT-MAT_BF-SEL_KNN          |  412 | [45, 46, 41, 44, 43, 51, 45, 51, 46]
FAST-BRISK-MAT_BF-SEL_KNN           | 2183 | [256, 243, 241, 239, 215, 251, 248, 243, 247]
FAST-BRIEF-MAT_BF-SEL_KNN           | 2831 | [320, 332, 299, 331, 276, 327, 324, 315, 307]
FAST-ORB-MAT_BF-SEL_KNN             | 2768 | [307, 308, 298, 321, 283, 315, 323, 302, 311]
FAST-FREAK-MAT_BF-SEL_KNN           | 2233 | [251, 247, 233, 255, 231, 265, 251, 253, 247]
FAST-SIFT-MAT_BF-SEL_KNN            | 2782 | [316, 325, 297, 311, 291, 326, 315, 300, 301]
BRISK-BRISK-MAT_BF-SEL_KNN          | 1570 | [171, 176, 157, 176, 174, 188, 173, 171, 184]
BRISK-BRIEF-MAT_BF-SEL_KNN          | 1704 | [178, 205, 185, 179, 183, 195, 207, 189, 183]
BRISK-ORB-MAT_BF-SEL_KNN            | 1514 | [162, 175, 158, 167, 160, 182, 167, 171, 172]
BRISK-FREAK-MAT_BF-SEL_KNN          | 1524 | [160, 177, 155, 173, 161, 183, 169, 178, 168]
BRISK-SIFT-MAT_BF-SEL_KNN           | 1646 | [182, 193, 169, 183, 171, 195, 194, 176, 183]
ORB-BRISK-MAT_BF-SEL_KNN            |  751 | [73, 74, 79, 85, 79, 92, 90, 88, 91]
ORB-BRIEF-MAT_BF-SEL_KNN            |  545 | [49, 43, 45, 59, 53, 78, 68, 84, 66]
ORB-ORB-MAT_BF-SEL_KNN              |  763 | [67, 70, 72, 84, 91, 101, 92, 93, 93]
ORB-FREAK-MAT_BF-SEL_KNN            |  420 | [42, 36, 44, 47, 44, 51, 52, 48, 56]
ORB-SIFT-MAT_BF-SEL_KNN             |  763 | [67, 79, 78, 79, 82, 95, 95, 94, 94]
AKAZE-BRISK-MAT_BF-SEL_KNN          | 1215 | [137, 125, 129, 129, 131, 132, 142, 146, 144]
AKAZE-BRIEF-MAT_BF-SEL_KNN          | 1266 | [141, 134, 131, 130, 134, 146, 150, 148, 152]
AKAZE-ORB-MAT_BF-SEL_KNN            | 1182 | [131, 129, 127, 117, 130, 131, 137, 135, 145]
AKAZE-FREAK-MAT_BF-SEL_KNN          | 1187 | [126, 129, 127, 121, 122, 133, 144, 147, 138]
AKAZE-AKAZE-MAT_BF-SEL_KNN          | 1259 | [138, 138, 133, 127, 129, 146, 147, 151, 150]
AKAZE-SIFT-MAT_BF-SEL_KNN           | 1270 | [134, 134, 130, 136, 137, 147, 147, 154, 151]
SIFT-BRISK-MAT_BF-SEL_KNN           |  592 | [64, 66, 62, 66, 59, 64, 64, 67, 80]
SIFT-BRIEF-MAT_BF-SEL_KNN           |  702 | [86, 78, 76, 85, 69, 74, 76, 70, 88]
SIFT-ORB-MAT_BF-SEL_KNN             |  810 | [91, 84, 84, 90, 88, 84, 86, 105, 98]
SIFT-FREAK-MAT_BF-SEL_KNN           |  593 | [65, 72, 64, 66, 59, 59, 64, 65, 79]
SIFT-SIFT-MAT_BF-SEL_KNN            |  800 | [82, 81, 85, 93, 90, 81, 82, 102, 104]

MP.9 Performance Evaluation 3

